Date,Hours Online,Av. WHT (Deg C),Av. WHP (bar),Av. DHT (Deg C),Av. DHP (bar),Oil (m3),Gas (m3),Produced Water (m3),Well_ID,X,Y
2001-04-08,6.0,50.8333666666666,113.969771895494,95.1730125,150.926854154788,0.0,0.0,5.977038532356209,Well_12,1.23349,56.8859
2001-04-09,5.5,91.8070351351351,43.567233617484796,95.39090499999999,206.50579755315803,204.949114722556,23329.2121588365,0.0,Well_13,1.22352,56.9148
2001-04-10,10.3,90.97064054054049,42.346278326005695,94.6131729166667,177.598419060454,638.405371547386,56352.8631658967,0.0,Well_13,1.22352,56.9148
2001-04-11,23.2,90.5112208333333,47.1013661173575,96.67406041666659,217.240754765054,1461.53321730907,101161.921727136,0.0,Well_13,1.22352,56.9148
2001-04-12,24.0,80.3351458333333,47.530637679665,96.7451458333333,215.161753561838,2210.50813691312,149163.816630789,0.0,Well_13,1.22352,56.9148
2001-04-13,24.0,65.33196875,35.1441359294757,96.82356875,212.751789821253,2676.6170454788103,406989.723134652,0.0,Well_13,1.22352,56.9148
2001-04-14,24.0,75.9293708333333,38.792523399549495,96.7670083333333,214.48333150317302,2259.2807313974704,827692.5865506191,0.0,Well_13,1.22352,56.9148
2001-04-15,16.0,55.76431086956519,91.2993744524371,95.0836304347826,144.572904892759,1356.0131596903402,381819.624645817,16.3354860296162,Well_12,1.23349,56.8859
2001-04-15,22.0,68.6418333333333,36.428721632298696,96.8054083333333,213.28733662475602,2021.3837613912901,387036.91557643,0.0,Well_13,1.22352,56.9148
2001-04-16,24.0,78.8994020833333,90.9078934617829,96.50118541666659,192.387764120484,1758.16489046437,351594.240930155,17.147946640314597,Well_12,1.23349,56.8859
2001-04-16,24.0,66.5654041666667,35.8657659618276,96.817475,212.921457311582,2580.67582442019,350933.477358137,0.0,Well_13,1.22352,56.9148
2001-04-17,19.5,57.65058125,92.3828747721821,95.21775,147.194333941582,1227.5546297656201,439205.701128115,16.2589192852002,Well_12,1.23349,56.8859
2001-04-17,19.5,69.8570184210526,36.4959725448426,95.48081666666668,176.81704032296201,1672.3939082715501,406888.131564525,0.0,Well_13,1.22352,56.9148
2001-04-18,19.7,66.20588541666669,91.9130666292649,95.76583541666669,166.80922908154702,1514.6072471894201,440189.613655652,16.2826835184332,Well_12,1.23349,56.8859
2001-04-18,21.7,75.0134304347826,39.3200863247506,96.52379166666658,206.983090983641,2015.5129957349202,398322.304005014,0.0,Well_13,1.22352,56.9148
2001-04-19,24.0,79.0442916666666,81.73074983773171,96.507775,191.31407066047402,2024.48602938076,407789.21483575,19.539854732639398,Well_12,1.23349,56.8859
2001-04-19,24.0,68.62985625,36.6121237627373,96.80695416666659,213.227839988697,2541.46024677207,348107.61994916596,0.0,Well_13,1.22352,56.9148
2001-04-20,24.0,79.0284999999999,80.8842102011056,96.5085,191.226171463631,2004.68747430184,416787.30492314,19.727463451454,Well_12,1.23349,56.8859
2001-04-20,24.0,67.6216645833333,36.2319223426692,96.8121249999999,213.077021432649,2524.8048059373905,356947.834955992,0.0,Well_13,1.22352,56.9148
2001-04-21,24.0,79.0284999999999,80.8842102011056,96.5085,191.226171463631,1989.4531946567602,382632.826533483,19.727463451454,Well_12,1.23349,56.8859
2001-04-21,24.0,67.64866875,36.245288253626896,96.81198125,213.081037872226,2504.77231265234,327586.41942466405,0.0,Well_13,1.22352,56.9148
2001-04-22,24.0,79.0284999999999,80.88424978220101,96.5085,191.226179796493,1991.5021383582703,408338.284682648,19.727455122358197,Well_12,1.23349,56.8859
2001-04-22,24.0,67.87032291666671,36.3455513347496,96.8108770833334,213.113971426829,2500.3983026530905,348624.264087944,0.0,Well_13,1.22352,56.9148
2001-04-23,24.0,79.0284999999999,80.8843997737205,96.5085,191.226219377588,1980.67194001365,388082.72001666605,19.7274280527967,Well_12,1.23349,56.8859
2001-04-23,24.0,67.8875333333333,36.3533279783913,96.8108,213.116533781953,2486.2676550495303,331259.802732078,0.0,Well_13,1.22352,56.9148
2001-04-24,24.0,79.0284999999999,80.8846330938619,96.5085,191.22626937476102,1951.47286863945,199963.83175868803,19.7273926541395,Well_12,1.23349,56.8859
2001-04-24,24.0,67.908025,36.3625441239768,96.81071875,213.1195815263,2448.9893438387203,170641.613776487,0.0,Well_13,1.22352,56.9148
2001-04-25,22.0,75.93759375,92.00092634252539,96.3924770833333,189.696001729469,1535.48302880206,433365.018845775,16.1294131452374,Well_12,1.23349,56.8859
2001-04-25,22.5,76.27588125,38.8362105128123,96.7010083333334,214.813414923581,1983.30955289906,380634.810189619,0.0,Well_13,1.22352,56.9148
2001-04-26,24.0,79.0470624999999,82.30359453241039,96.5073479166667,191.376983770032,1932.20663838755,374936.78444568603,19.4031367892897,Well_12,1.23349,56.8859
2001-04-26,24.0,68.5472395833333,36.5868106106102,96.80741041666658,213.215426107245,2445.3025882527604,322660.823591621,0.0,Well_13,1.22352,56.9148
2001-04-27,20.0,71.32601875,91.0834606185445,96.37408125,193.32477155872502,1317.4549910704,339415.16107041,14.374080789567799,Well_12,1.23349,56.8859
2001-04-27,21.0,75.9046,42.1310117246626,96.32828541666659,213.998229764172,1845.76777069442,323356.550877441,0.0,Well_13,1.22352,56.9148
2001-04-28,18.5,63.8029604166667,94.9146537615524,95.58331666666669,160.720212938018,1463.4460980983902,430445.83560580504,15.859804846487698,Well_12,1.23349,56.8859
2001-04-28,18.5,83.91375625,42.9538381187027,96.2793770833334,217.25100001912,1362.2803471977502,272469.27244466305,0.0,Well_13,1.22352,56.9148
